id,action,start_way,container_attr,container_way,queue_time,create_time,rent_time,inter_start,inter_end,end-to-end,container_start,container_end,exeuction
a218149832684c71be48937b56086509,k-means,warm,exec,queue,4.354825496673584,2.384185791015625e-07,4.76837158203125e-07,1609229710.3931015,1609229715.6051476,5.212046146392822,1609229714.7635128,1609229714.786255,0.022742033004760742
2b37faa6851548bd8c5aad8d6ed8999e,map_reduce,warm,exec,queue,5.027203321456909,2.384185791015625e-07,2.384185791015625e-07,1609229710.3971472,1609229716.8451276,6.4479804039001465,1609229715.4810698,1609229715.4843225,0.003252744674682617
86cc28fa7b4748268f3600cf354d3afc,float_operation,warm,exec,queue,10.07100248336792,0.0,0.0,1609229710.39969,1609229727.6246982,17.225008249282837,1609229720.5236263,1609229720.5305805,0.006954193115234375
d0f97f173665491a923d50ea69382d66,float_operation,warm,exec,queue,10.042210578918457,0.0,4.76837158203125e-07,1609229710.4014292,1609229723.5632126,13.161783456802368,1609229720.493181,1609229720.500585,0.0074040889739990234
68620f4ef07d48b58332e1619c76fbfc,k-means,warm,exec,queue,3.369344472885132,2.384185791015625e-07,4.76837158203125e-07,1609229711.4024155,1609229715.6113985,4.208982944488525,1609229714.7963822,1609229714.820013,0.023630857467651367
ad8bc0e5a2da4677a4d583766489178a,float_operation,cold,exec,create,-4.05303692817688,13.513911008834839,0.006429433822631836,1609229711.4064538,1609229724.8928132,13.486359357833862,1609229720.9325557,1609229720.9528277,0.020272016525268555
de8b2d9f003441e984c638551695f2bc,k-means,warm,exec,queue,3.5317842960357666,1.1920928955078125e-06,9.5367431640625e-07,1609229711.4100919,1609229715.607885,4.197793006896973,1609229715.0033937,1609229715.0275292,0.024135589599609375
eeb8a1d02f944a52b105fa31ae3b627d,k-means,warm,exec,queue,3.403270721435547,4.76837158203125e-07,2.384185791015625e-07,1609229711.4126434,1609229715.6084394,4.195796012878418,1609229714.8655977,1609229714.8893545,0.023756742477416992
fb6bd709f0a845c4a1f830177615f0e5,k-means,warm,exec,queue,3.435854196548462,2.384185791015625e-07,2.384185791015625e-07,1609229711.4140973,1609229716.8393297,5.425232410430908,1609229714.898336,1609229714.9213548,0.023018836975097656
94fcbf18388d4c96b123e82b4016ec6c,k-means,warm,exec,queue,3.467954397201538,2.384185791015625e-07,2.384185791015625e-07,1609229711.4156055,1609229719.1757483,7.760142803192139,1609229714.9340844,1609229714.9581735,0.02408909797668457
