time,cold,zygote
1609656758,0,0
1609656759,0,0
1609656760,1,0
1609656761,0,0
1609656762,0,0
1609656763,0,0
1609656764,0,0
1609656765,0,0
1609656766,0,0
1609656767,0,0
1609656768,0,0
1609656769,0,0
1609656770,0,0
1609656771,0,0
1609656772,0,0
1609656773,0,0
1609656774,0,0
1609656775,0,0
1609656776,0,0
1609656777,0,0
1609656778,0,0
1609656779,0,0
1609656780,0,0
1609656781,0,0
1609656782,0,0
1609656783,0,0
1609656784,1,0
1609656785,0,0
1609656786,0,0
1609656787,0,0
1609656788,1,0
1609656789,0,0
1609656790,0,0
1609656791,0,0
1609656792,0,0
1609656793,0,0
1609656794,1,0
1609656795,0,0
1609656796,2,0
1609656797,4,0
1609656798,3,0
1609656799,0,0
1609656800,1,0
1609656801,0,0
1609656802,0,0
1609656803,0,0
1609656804,0,0
1609656805,0,0
1609656806,0,0
1609656807,0,0
1609656808,0,0
1609656809,5,0
1609656810,0,0
1609656811,0,0
1609656812,0,0
1609656813,0,0
1609656814,1,0
1609656815,0,0
1609656816,0,0
1609656817,0,0
1609656818,0,0
1609656819,0,0
1609656820,0,0
1609656821,0,0
1609656822,0,0
1609656823,0,0
1609656824,0,0
1609656825,0,0
1609656826,0,1
1609656827,0,1
1609656828,0,0
1609656829,0,0
1609656830,0,0
1609656831,0,0
1609656832,0,0
1609656833,0,0
1609656834,2,0
1609656835,0,0
1609656836,0,0
1609656837,0,0
1609656838,0,0
1609656839,0,1
1609656840,0,0
1609656841,0,0
1609656842,0,0
1609656843,0,0
1609656844,0,0
1609656845,0,0
1609656846,0,0
1609656847,0,0
1609656848,1,0
1609656849,1,0
1609656850,0,0
1609656851,0,0
1609656852,0,0
1609656853,0,0
1609656854,4,0
1609656855,0,0
1609656856,2,0
1609656857,1,0
1609656858,2,0
1609656859,0,0
1609656860,0,0
1609656861,0,0
1609656862,0,0
1609656863,0,0
1609656864,0,0
1609656865,0,0
1609656866,0,0
1609656867,0,0
1609656868,0,0
1609656869,0,0
1609656870,0,0
1609656871,1,0
1609656872,0,0
1609656873,0,0
