time,load,container
1610083901,11,3
1610083902,8,3
1610083903,8,3
1610083904,11,4
1610083905,8,4
1610083906,12,5
1610083907,5,5
1610083908,10,5
1610083909,5,5
1610083910,8,5
1610083911,11,5
1610083912,9,5
1610083913,6,5
1610083914,10,5
1610083915,9,5
1610083916,10,5
1610083917,10,5
1610083918,10,5
1610083919,10,5
1610083920,10,5
1610083921,11,5
1610083922,11,5
1610083923,10,4
1610083924,7,4
1610083925,5,4
1610083926,11,4
1610083927,7,4
1610083928,9,4
1610083929,11,4
1610083930,11,4
1610083931,11,4
1610083932,5,4
1610083933,9,4
1610083934,10,4
1610083935,10,4
1610083936,14,5
1610083937,6,5
1610083938,11,5
1610083939,6,5
1610083940,3,5
1610083941,13,5
1610083942,7,5
1610083943,8,5
1610083944,8,5
1610083945,9,5
1610083946,11,5
1610083947,1,5
1610083948,7,5
1610083949,11,5
1610083950,5,5
1610083951,11,4
1610083952,9,4
1610083953,9,4
1610083954,6,4
1610083955,8,4
1610083956,12,4
1610083957,11,4
1610083958,9,4
1610083959,9,4
1610083960,6,4
1610083961,12,4
1610083962,10,4
1610083963,8,4
1610083964,11,4
1610083965,12,5
1610083966,12,5
1610083967,9,5
1610083968,7,5
1610083969,7,5
1610083970,7,5
1610083971,14,5
1610083972,11,5
1610083973,10,5
1610083974,12,5
1610083975,8,5
1610083976,10,5
1610083977,9,5
1610083978,9,5
1610083979,9,5
1610083980,11,5
1610083981,9,4
1610083982,9,4
1610083983,10,4
1610083984,8,4
1610083985,5,4
1610083986,13,4
1610083987,9,5
1610083988,7,5
1610083989,10,6
1610083990,9,6
1610083991,11,6
1610083992,8,6
1610083993,10,6
1610083994,11,6
1610083995,7,6
1610083996,7,6
1610083997,9,6
1610083998,10,6
1610083999,6,6
1610084000,7,6
1610084001,13,6
1610084002,8,6
1610084003,10,6
1610084004,8,6
1610084005,9,6
1610084006,13,6
1610084007,4,4
1610084008,8,4
1610084009,13,4
1610084010,8,4
1610084011,10,4
1610084012,9,4
1610084013,7,4
1610084014,9,4
1610084015,6,4
1610084016,12,4
1610084017,7,4
1610084018,5,4
1610084019,8,4
1610084020,10,4
1610084021,11,4
1610084022,6,4
1610084023,7,4
1610084024,13,4
1610084025,8,4
1610084026,11,4
1610084027,7,4
1610084028,6,4
1610084029,5,4
1610084030,7,4
1610084031,11,4
1610084032,10,4
1610084033,11,4
1610084034,11,4
1610084035,11,4
1610084036,11,4
1610084037,11,4
1610084038,10,4
1610084039,10,4
1610084040,9,4
1610084041,13,4
1610084042,7,4
1610084043,6,4
1610084044,8,4
1610084045,10,4
1610084046,9,4
1610084047,10,4
1610084048,13,4
1610084049,9,4
1610084050,10,4
1610084051,9,4
1610084052,7,4
1610084053,10,4
1610084054,11,4
1610084055,6,4
1610084056,11,4
1610084057,8,4
1610084058,9,4
1610084059,6,4
1610084060,5,4
1610084061,12,4
1610084062,8,4
1610084063,8,4
1610084064,11,4
1610084065,7,4
1610084066,12,4
1610084067,11,4
1610084068,8,4
1610084069,13,4
1610084070,7,4
1610084071,10,4
1610084072,4,4
1610084073,6,4
1610084074,6,4
1610084075,2,4
1610084076,12,4
1610084077,9,4
1610084078,11,4
1610084079,8,4
1610084080,8,4
1610084081,9,4
1610084082,10,4
1610084083,8,4
1610084084,11,4
1610084085,8,4
1610084086,10,5
1610084087,5,5
1610084088,9,5
1610084089,7,5
1610084090,10,5
1610084091,12,5
1610084092,10,5
1610084093,9,5
1610084094,11,5
1610084095,11,5
1610084096,9,5
1610084097,8,5
1610084098,10,5
1610084099,9,5
1610084100,9,5
1610084101,10,5
1610084102,10,5
1610084103,9,4
1610084104,6,4
1610084105,7,4
1610084106,11,4
1610084107,8,4
1610084108,10,4
1610084109,9,4
1610084110,11,4
1610084111,9,4
1610084112,8,4
1610084113,5,4
1610084114,10,4
1610084115,9,4
1610084116,11,4
1610084117,10,4
1610084118,8,4
1610084119,7,4
1610084120,10,4
1610084121,9,4
1610084122,8,4
1610084123,13,4
1610084124,10,4
1610084125,7,4
1610084126,8,4
1610084127,9,4
1610084128,9,4
1610084129,12,4
1610084130,11,4
1610084131,14,4
1610084132,9,4
1610084133,7,4
1610084134,8,4
1610084135,8,4
1610084136,12,4
1610084137,9,4
1610084138,9,4
1610084139,11,4
1610084140,10,4
1610084141,11,4
1610084142,9,4
1610084143,8,4
1610084144,11,4
1610084145,10,4
1610084146,12,4
1610084147,7,4
1610084148,7,4
1610084149,7,4
1610084150,11,4
1610084151,12,4
1610084152,10,4
1610084153,8,4
1610084154,9,5
1610084155,7,5
1610084156,8,5
1610084157,8,5
1610084158,10,5
1610084159,11,5
1610084160,12,5
1610084161,14,5
1610084162,9,5
1610084163,8,5
1610084164,7,5
1610084165,8,5
1610084166,11,5
1610084167,10,5
1610084168,9,5
1610084169,11,5
1610084170,11,5
1610084171,13,5
1610084172,7,5
1610084173,9,4
1610084174,8,4
1610084175,7,4
1610084176,13,4
1610084177,9,4
1610084178,11,4
1610084179,7,4
1610084180,7,4
1610084181,9,4
1610084182,11,4
1610084183,7,4
1610084184,8,4
1610084185,7,4
1610084186,10,4
1610084187,7,4
1610084188,8,4
1610084189,8,4
1610084190,6,4
1610084191,10,4
1610084192,6,4
1610084193,7,4
1610084194,8,4
1610084195,8,4
1610084196,10,4
1610084197,9,4
1610084198,9,4
1610084199,9,4
1610084200,10,4
1610084201,11,4
1610084202,8,4
1610084203,9,4
1610084204,12,4
1610084205,6,4
1610084206,11,4
1610084207,4,4
1610084208,8,4
1610084209,3,4
1610084210,4,4
1610084211,12,4
1610084212,9,4
1610084213,11,4
1610084214,10,4
1610084215,10,4
1610084216,10,4
1610084217,8,4
1610084218,9,4
1610084219,11,4
1610084220,10,4
1610084221,10,4
1610084222,11,4
1610084223,8,4
1610084224,7,4
1610084225,6,4
1610084226,10,4
1610084227,9,4
1610084228,12,4
1610084229,12,4
1610084230,12,4
1610084231,13,4
1610084232,10,4
1610084233,10,4
1610084234,7,4
1610084235,10,4
1610084236,10,4
1610084237,11,4
1610084238,8,4
1610084239,7,4
1610084240,5,4
1610084241,13,4
1610084242,9,4
1610084243,8,4
1610084244,12,4
1610084245,12,4
1610084246,9,4
1610084247,10,4
1610084248,11,4
1610084249,14,4
1610084250,10,4
1610084251,9,4
1610084252,6,4
1610084253,7,4
1610084254,8,4
1610084255,13,4
1610084256,12,4
1610084257,11,4
1610084258,11,4
1610084259,11,4
1610084260,11,4
1610084261,12,4
1610084262,6,4
1610084263,10,4
1610084264,11,4
1610084265,7,4
1610084266,9,4
1610084267,6,4
1610084268,5,4
1610084269,6,4
1610084270,9,4
1610084271,9,4
1610084272,10,4
1610084273,9,4
1610084274,11,4
1610084275,11,4
1610084276,11,4
1610084277,9,4
1610084278,8,4
1610084279,12,4
1610084280,8,4
1610084281,14,4
1610084282,7,4
1610084283,10,4
1610084284,10,4
1610084285,1,4
1610084286,12,4
1610084287,16,4
1610084288,12,4
1610084289,12,4
1610084290,11,4
1610084291,8,4
1610084292,10,4
1610084293,10,4
1610084294,8,4
1610084295,7,4
1610084296,11,4
1610084297,10,4
1610084298,6,4
1610084299,8,4
1610084300,4,4
1610084301,10,4
1610084302,11,4
1610084303,7,4
1610084304,12,4
1610084305,11,4
1610084306,7,4
1610084307,8,4
1610084308,8,4
1610084309,11,4
1610084310,10,4
1610084311,10,4
1610084312,5,4
1610084313,7,4
1610084314,10,4
1610084315,8,4
1610084316,12,4
1610084317,9,4
1610084318,11,5
1610084319,11,5
1610084320,9,5
1610084321,9,5
1610084322,8,5
1610084323,6,5
1610084324,11,5
1610084325,9,5
1610084326,9,5
1610084327,10,5
1610084328,7,5
1610084329,5,5
1610084330,10,5
1610084331,11,5
1610084332,9,5
1610084333,8,5
1610084334,12,5
1610084335,9,5
1610084336,12,5
1610084337,9,5
1610084338,7,5
1610084339,8,5
1610084340,10,5
1610084341,10,5
1610084342,10,5
1610084343,12,5
1610084344,7,5
1610084345,9,5
1610084346,14,5
1610084347,6,4
1610084348,9,4
1610084349,10,4
1610084350,10,4
1610084351,11,4
1610084352,9,4
1610084353,10,4
1610084354,13,4
1610084355,8,5
1610084356,11,5
1610084357,9,5
1610084358,7,5
1610084359,7,5
1610084360,8,5
1610084361,8,5
1610084362,6,5
1610084363,10,5
1610084364,8,5
1610084365,7,5
1610084366,11,5
1610084367,7,5
1610084368,8,5
1610084369,8,5
1610084370,8,5
1610084371,12,5
1610084372,8,5
1610084373,7,4
1610084374,9,4
1610084375,11,4
1610084376,11,4
1610084377,8,4
1610084378,8,4
1610084379,9,4
1610084380,7,4
1610084381,10,4
1610084382,9,4
1610084383,10,4
1610084384,10,4
1610084385,6,4
1610084386,13,4
