HashFunction,Average,Count
e07adb1bf506a80ab784d20bc5840ddf64eceb24704e712f6601afe115adc3d7,199.0,42245
ee3ee3561ca9cdef9adcb78dafedde37cfb5eeb6f44be64889c4671074ee8688,165.0,41356
9504e58e9cd7a39badd97df7a0aece9a540dd33ca0ec424a33cfc1cb72cc5d34,2296.0,41157
eca83281f89808288e152dcfeff4735f97175b22f6cda697314c8869a9c4264d,2431.0,40613
2399e5d52b6752d93aaedf67fa4282c5af1eb3d5efc167bc76ab31ad09c6f4aa,285.0,40310
6e52d3816536e9aae09a4709823f8b24f180ee6a47f51cc1ed1c7279b6389bae,384.0,40204
0b29bbce12777712de0e4062c382a40a35c9d58fe429c309a7a2af577729822d,3367.0,39724
e1830183c9ff8b0be0b5a9bc8f201cd7b167b0bebadc47e9097d8915b9346b7e,292.0,39572
fab92ad9fe71a7b3be9e521cdd513560c9dcd1b11cc55d65947a8c537bc74802,4083.0,39257
d1555446904ad3d7433cbcc80e2acfe501fa4dc17452190884ec7d321527bda3,268.0,38896
b34aab22217b1c012249c7c4cc84817ce9778d97dc17913df870c3c7fb97da05,655.0,38621
932103f4a8289db32cf93ec1189e8879a17d23fa72d04a92a518c21b8209f956,1666.0,38519
0e205a2068ab2ffe80f5297bc77f2a9a60341394575a05a2114ec58f6926a1e1,3493.0,38423
16c050e255e4547a95d90665b05aafb0c4060291a25bd622b0f97ef3c8d55bc1,691.0,38391
bf9fa46752749c20faee8db318b52f7f4caa0ff6950bfcefa22727db9f906531,2240.0,38295
c7d74c031ad41a8ac0cb0dd6fb1dd772f45b0cc13f9b876a832d2bcdf74be352,2062.0,38218
38da231af26638f0ead0b0fdf558a36bd509a60d32e5c7beafd981a2389ee023,212.0,37929
dfe05ccba57d579a6f975a16b4bdc932ccc9b63f212faacd406e586f59b43244,1993.0,37890
1e1cfc3914943aca9064a3156b2565ca936bd54666bbd7f8371c0c6deece0725,2272.0,37730
c820e8181f6a1dc393d3ceeea7a0ff753bea573981037ed1848e1a996e98c702,105.0,37665
5da680f58ab766a9279d56dd893013d3a5d585ccc48dbfa16f53de0b1ab0df52,2277.0,37641
45b20dbf87140091a0e4b87b2b8c4683fccaf81e00be488f8ab732a547025f28,2166.0,37468
71389473f6b8c3ab40ecc827bdc356682f3b959d14877f589f482920f7a6b8fc,841.0,37461
8c5fc5e356c7f3862f599ffed5d86da1ad39d4ee3db55dba05c896d41fab1202,1119.0,37454
093c2fb2a1b82c1c06dd93c00ee6289ab348aeecef85beb837c40f331a158b9d,688.0,36993
79fa40edcde69beffe1b1ececc146ae973297f11d043d4245652ffb265fbb815,3029.0,36924
d0bc823aa847a9141ebcbd48d7d80cc3c8c3018f492b9f25648c39b1601b845b,1443.0,36866
c8645cd08fa9d03daadc7bbaa458b7caed32a3f580578d8ba469885be9e4a338,126.0,36866
1f3dfc44799a2c9c7cd23e4cfcef4af793304839e091881ba8e662cb127c29c3,1097.0,36866
6b131134935748ebf5456b1bd3857e53f985f677b306ff1d5360d73cdd1dff92,1322.0,36711
d4ca378849eb3a18786ba9e4e2f8b05cb9ae1668ebdf01d25ee554a1f24e83b2,386.0,36605
36ecab7b8e110003873031f93c9cae09c04dfc41935875277cb090cebadb82db,1073.0,36565
1cec7f7609a4a5f82a5a13cb237e4f1e15567bffe26ab372c88c2340254bbc24,139.0,36468
0affafe05ecaf365c7ff5af7b20eecaab7438ca37e544242522af9858a1468e0,150.0,36349
836b42ff08e1d96a89909e6353931ccc609e4129e18d856ff280b3e1ae7ebeed,124.0,36180
3bc953fd35c53c3a008ebe1061896b1c69c54940f725cf9ecca7d50c6eb9fade,3411.0,36103
72e5cc15179a40689119ad1ed4869569dee20f5fedfadc0c59b80305b2dbf51c,170.0,35928
215806eac9efb049ce90c6b83c65b067353cc4d92172137d600d1cb1de33f3d6,190.0,35917
bd598a6285c40804a2e44ed0f101a44dd593cc78ea142e6d160a429883bf089d,148.0,35871
beddbca9007d6e601bf779c1ca803c3937a7877518d15f68559bf3095d1bcbd3,173.0,35752
fd6f7f10a1f24541e94b07a9ba0279bf27c21a4a7298acd96c3e314327d3af87,1589.0,35012
30063190a305b790b4b53a0fdc29cac4ddb092216510c3b27dba97a952b5d86e,899.0,35001
1f133838c9fbbd8a2d34936e7e1323ac330eab9bd96f3b2a40a2eeaacc9eda1c,138.0,34936
7aa575cc891716a7c26f87919373db3e2049277dcd7616c41210780a76bcad96,116.0,34919
fd0176718b0d2b3ec6ec55d042da8f9aa08c71bf23b41bcdc68e15d3b506ddda,111.0,34830
c322c303b93b918f6ff6a62bfb0d239fe142856460c1a3cc601291c5182c5da0,383.0,34616
16dc5a5d9a01e3c6e96cdff0802fe1e5a289b41085d43fd446ae5ce08e5bdf95,2488.0,34512
cf8fad465a95edecbac62f7dca6025897e4a480a72e32ecf5e78b55687c35a40,127.0,34464
75fa738c0f1cc09ebd634bd8813f913b0fbd9dab2eeedcfca8c5cf041232c367,628.0,34423
