id,time,memory,cpu
1789541887c24966912ec88056fb7c12,1609912590.3211613,0.11867621719820205,4.5
178ca2b2fc69429a89606cbdcf0d71d5,1609912791.6141794,0.11946837631506715,2.8
180908b2aa9e4be4ac8c3ff819491146,1609912926.8089087,0.12074078947845283,3.1
182678849e9a4d9295b3bf9b9de634f7,1609913779.0574992,0.12859258148142763,4.6
183c1383a88d41f3b4f41a61506bede1,1609913078.0385516,0.12219933880492273,2.5
186e321952c845059d8abba48d16df62,1609912519.2222474,0.11828659743654944,5.6
18aa32eaaed648b4829a9bf8785a2ade,1609913610.8134377,0.12721182266547684,3.2
18b7c1633740419da825f472f84e5ca3,1609912793.6169186,0.11954131439608019,8.7
18d9301db94a4b2e8763a8947949fb0a,1609913428.5410273,0.12538576245929134,5.3
19575434f28b49528b86347413def6eb,1609912437.1054409,0.11777064770547488,7.2
1967365901be4141b91ebc7cf11cf2fe,1609912796.62153,0.11987660211110708,13.4
19a9ef77f8284fc396702bc4e3392aad,1609913595.7905138,0.1272174029594088,5.0
1a311e9770994fe5a3cb9ed7dccf6da4,1609913702.9445512,0.1279913957933106,4.2
1a445ffa990a418d99b22da391c16d36,1609913577.7641203,0.12720882022471997,8.2
1a4eb3b330474204953bf8c9b5ba8eaf,1609912960.8614016,0.12082485781964541,2.1
1a651daf7dd5401caa6f2d04dd3c043b,1609913222.2373278,0.12428304785403807,9.6
1a98635d6129486eb17361f248e55d22,1609913728.984563,0.1282123481381008,3.4
1a99ec18965c48669e12a43edb019531,1609913250.2772288,0.12436194532503825,2.6
1aaa14a33cbe4be38616c21e62586cdc,1609912998.9182556,0.12121293086939296,2.1
1b4b11f204c342be8d5d55ed8b7b38c0,1609912391.0438282,0.11591917289975137,13.9
1b569833ccb0499a8704aa786d687a6c,1609913582.770828,0.12710613068529786,4.9
1bb9c88311304ae394d09cea11163848,1609913320.3870416,0.124769792025023,5.6
1be8e940e2314bb1a4f334947ccaa53d,1609913552.7263176,0.12686852844176494,5.6
1c529c119bc14e44b864f99c3d7254d1,1609913105.0752206,0.12247462319633869,4.4
1cacb1f076b748bd91bc41af97eaf394,1609913306.36593,0.12455860519461373,4.1
1cc239c1f2384e6eacd94bd034a0b11c,1609913722.975726,0.12807335636043646,5.5
1cc9db69ba29450fb72d726a89860575,1609912703.4855487,0.11912579479193897,1.8
1ccf5d1e5c8d489e8300b259ea2d27bf,1609912933.8196976,0.12078320274510429,2.0
1d2815c45e264cc0b7e22a5e9092c908,1609913530.6947246,0.12678911540012974,4.1
1d66dd90fa334fc289b78b35a5408cfd,1609912408.0643651,0.11736607639540671,9.6
1d6994a6c75845d1b4f8da86cf367057,1609913358.4398432,0.12496440477590062,4.5
1d75ea1e35d54d0cb95bedf728e96ba2,1609912760.5696824,0.11943680519559333,2.5
1d9b242fbeb54dfc82ada3be96d20c92,1609912633.3812735,0.11891175715919489,2.4
1dddedfa714841ddb6f1b2a3c93b6788,1609912989.9044852,0.12108858736330005,2.7
1de92cc638d4478e80cf306c666b8d49,1609913075.0348623,0.12217343896243411,3.1
