id,host,time,action,qos,qos_target,lender_pool,type
c49c8854659f4f8991c534fdc9a873a3,172.20.185.122,1610271514.879021,map_reduce,0.65,0.2,4,repack
2634982c15a640d6b64b51069ae29520,172.20.185.119,1610271515.406692,image,0.9999981529050389,0.2,6,repack
46dc33cf009f41acb228325f2b007704,172.20.185.119,1610271571.3946536,image,0.9906666561603739,0.2,5,repack
a53eef6f98da4980b2583b32bd759bcd,172.20.185.122,1610271626.431861,float_operation,0.93299321640625,0.2,1,create
30d72ec904b64ed39d6884124384deba,172.20.185.121,1610271630.88253,map_reduce,0.7425447461625522,0.2,2,repack
8b28d35b88884bbdb949edaf77fcc322,172.20.185.122,1610271632.1936643,video,0.43964781250000007,0.2,1,repack
0badf6634d0b4faf84a3283f2a2c99f2,172.20.185.121,1610271632.849173,map_reduce,0.7425447461625522,0.2,3,repack
da8c163941b04029b198c597de493319,172.20.185.121,1610271808.9520142,map_reduce,0.5134533374045102,0.2,2,repack
b4d5088428ac4cd8b2867c7018e206f1,172.20.185.121,1610271810.9288552,map_reduce,0.5134533374045102,0.2,3,repack
d14306bb50a24c34839e45e0444cc88c,172.20.185.119,1610271811.502611,image,0.9915662650538908,0.2,5,repack
015c549fbdee40a78569905c437d793f,172.20.185.119,1610271937.5110464,image,0.6473542313775639,0.2,5,repack
807bdcf19575416783944befaf794b7e,172.20.185.120,1610271999.0326476,disk,0.65,0.2,1,repack
643084bd83da4e2cb3a95bde56927336,172.20.185.120,1610272001.0721645,disk,0.65,0.2,2,repack
551092175c744b2ba23a0451f946f69a,172.20.185.119,1610272007.5066361,image,0.9460662847421981,0.2,5,repack
4a03a10e62ef4d0e9ece919fb826b50f,172.20.185.120,1610272024.5127795,disk,0.65,0.2,1,create
a8e40a28b1074422b1d47846036d1a4b,172.20.185.120,1610272024.5135746,disk,0.65,0.2,2,create
14bcc77982394b3e973f20ad06df031a,172.20.185.122,1610272057.7158597,float_operation,0.9986121613386588,0.2,1,create
1aea64b504ea4e04840505ea522fea7a,172.20.185.121,1610272061.0603342,map_reduce,0.737364331734035,0.2,2,repack
09d06b77474f472392008297b1a10dc5,172.20.185.121,1610272063.0081303,map_reduce,0.737364331734035,0.2,3,repack
21f1b97533174307a56a02e9ee2fe7d9,172.20.185.122,1610272063.037033,map_reduce,0.42250000000000004,0.2,1,repack
2d71358f0c8a4e6f8fe8fa5d90bb1531,172.20.185.122,1610272065.0075371,map_reduce,0.42250000000000004,0.2,2,repack
2a27d6cd84de4166b840ffbc68d7814e,172.20.185.122,1610272070.31128,video,0.4707382805078125,0.2,1,repack
e7cb63cca6644216b9c4f7d93503f051,172.20.185.122,1610272072.4558358,video,0.4707382805078125,0.2,2,repack
69dc01621ff2413985e7be148ec73128,172.20.185.122,1610272127.908709,float_operation,0.9990979048701283,0.2,1,create
277b955ad0464b878464a25ab4730f0e,172.20.185.119,1610272130.6453607,disk,0.9999999999991195,0.2,1,create
71319af2e7fb461b93353e5d21362bbe,172.20.185.120,1610272139.162306,image,0.65,0.2,1,repack
2fd09186318a447fb1218c450980f2ad,172.20.185.122,1610272141.086986,linpack,0.9585903153662109,0.2,1,repack
b593604ab40a463b85479d5df3869caa,172.20.185.120,1610272141.1013381,image,0.65,0.2,2,repack
7efa43781c9541e4905d043be8353200,172.20.185.122,1610272143.1259398,linpack,0.9730837049880371,0.2,2,repack
b20e4a82b0974262b8f65a5353295c04,172.20.185.120,1610272143.2148826,image,0.65,0.2,3,repack
74ada622369241d68dfcffd2b7299151,172.20.185.122,1610272145.1742327,linpack,0.9825044082422241,0.2,3,repack
0241899385784b56bc7ab29f5082e7ed,172.20.185.120,1610272145.1818023,image,0.65,0.2,4,repack
987b164de0c04c8ebed073ea29002c48,172.20.185.119,1610272145.5461497,disk,0.9999999999994277,0.2,1,create
6c3612fb60c24e14b6f2ec00a6435538,172.20.185.119,1610272145.6475234,linpack,0.961111111111111,0.2,1,repack
a4dfe3b312a149c79d7caaf56e35a3b1,172.20.185.120,1610272147.1505342,image,0.65,0.2,5,repack
55e9d0fe5a3544d9aa4a7451f1517c09,172.20.185.122,1610272147.3191838,linpack,0.9886278653574456,0.2,4,repack
b4e18c54dcaf43e5b7bbce835db8af20,172.20.185.122,1610272149.0883508,linpack,0.9926081124823396,0.2,5,repack
f3ccef1a10cd4e7882e261449c9a897b,172.20.185.120,1610272149.1545467,image,0.65,0.2,6,repack
6118414e30844fc68418fecaf9448efd,172.20.185.122,1610272151.1343477,linpack,0.9926081124823396,0.2,6,repack
d56b9f1f2a754cb3bafe22562775ee0c,172.20.185.119,1610272153.490916,linpack,0.9134722222222221,0.2,2,repack
6e87ef9539914a61adefc6cd07089682,172.20.185.119,1610272155.5383048,linpack,0.9134722222222221,0.2,3,repack
1534f4dc041a468a9a9291a0219265c3,172.20.185.119,1610272157.4977734,linpack,0.9134722222222221,0.2,4,repack
630d35b1699c4127aea1b419b795ff61,172.20.185.122,1610272239.9419067,float_operation,0.9996188648076292,0.2,1,create
a2e54fa1db2f45e8bc33224defd6cf42,172.20.185.121,1610272243.1568222,map_reduce,0.7666357256773164,0.2,2,repack
0924f5432ea34aacbc3a426400980bc5,172.20.185.121,1610272249.0366964,map_reduce,0.8483132216902557,0.2,3,repack
403d66dd4da74e14ab9ca67fd84140ed,172.20.185.119,1610272363.5831592,image,0.9955696202531645,0.2,5,repack
6ab9a3491d2849c389bd331ac9e78380,172.20.185.122,1610272386.9141898,float_operation,0.9998389703812233,0.2,1,create
6a542e7d42a14bfaba3b6f1b66834022,172.20.185.121,1610272391.0896046,map_reduce,0.8249968100663971,0.2,2,repack
1f43e1e9f5784eee94a703d806c5d966,172.20.185.122,1610272394.4659824,video,0.35677650028445806,0.2,1,repack
8cb6f29aee3a4d069498be018eed83d3,172.20.185.122,1610272395.2661395,map_reduce,0.17850625000000006,0.2,1,repack
