id,action,time,zygote_time
1652348970.9155684_fmp_twitterddb,fmp_twitterddb,1652348970.9155679,0.855522871017456
1652348970.9195988_fmp_comparefaces,fmp_comparefaces,1652348970.9195983,0.8560347557067871
1652348970.9235659_sc_add_to_cart,sc_add_to_cart,1652348970.9235651,6.708465576171875
1652348970.9274929_sc_update_cart,sc_update_cart,1652348970.9274926,6.709183692932129
1652348970.931128_sc_list_cart,sc_list_cart,1652348970.9311273,6.70956826210022
1652348970.9379365_sc_migrate_cart,sc_migrate_cart,1652348970.937936,6.709583759307861
1652348970.941943_sc_checkout_cart,sc_checkout_cart,1652348970.9419422,6.709846019744873
1652348970.945769_sc_delete_from_cart,sc_delete_from_cart,1652348970.9457684,6.706014156341553
1652348970.9509652_tcp_download_podcast,tcp_download_podcast,1652348970.9509647,17.732051134109497
1652348970.9550304_tcp_check_transcribe,tcp_check_transcribe,1652348970.95503,17.73192858695984
1652348970.9588344_tcp_process_podcast_rss,tcp_process_podcast_rss,1652348970.958834,17.732622385025024
1652348970.9625614_tcp_upload_to_elasticsearch,tcp_upload_to_elasticsearch,1652348970.9625607,17.734209775924683
1652349420.8878634_cs_bot,cs_bot,1652349420.887862,18.750810623168945
1652349420.8929152_df_union,df_union,1652349420.8929148,12.516505002975464
1652349420.8972604_eo_athenarunner,eo_athenarunner,1652349420.89726,0.5027945041656494
1652349420.9014108_eo_gluerunner,eo_gluerunner,1652349420.9014103,0.5026659965515137
1652349420.905695_eo_ons3objectcreated,eo_ons3objectcreated,1652349420.9056942,0.502812385559082
1652349420.9098089_fmp_twitter_streaming,fmp_twitter_streaming,1652349420.9098084,0.8751547336578369
1652349420.914119_fmp_twitterddb,fmp_twitterddb,1652349420.9141183,0.8794410228729248
1652349420.9183757_fmp_comparefaces,fmp_comparefaces,1652349420.9183753,0.8795545101165771
1652349420.9222136_sc_add_to_cart,sc_add_to_cart,1652349420.922213,7.566164255142212
1652349420.9258888_sc_update_cart,sc_update_cart,1652349420.9258883,7.566434383392334
1652349420.9300306_sc_list_cart,sc_list_cart,1652349420.93003,7.566454648971558
1652349420.933716_sc_migrate_cart,sc_migrate_cart,1652349420.9337153,7.565520286560059
1652349420.9375246_sc_checkout_cart,sc_checkout_cart,1652349420.937524,7.566444396972656
1652349420.941313_sc_delete_from_cart,sc_delete_from_cart,1652349420.9413126,7.566068410873413
1652349420.9450874_tcp_download_podcast,tcp_download_podcast,1652349420.9450867,10.172343969345093
1652349420.9487698_tcp_check_transcribe,tcp_check_transcribe,1652349420.948769,10.171540260314941
1652349420.9526765_tcp_process_podcast_rss,tcp_process_podcast_rss,1652349420.9526758,10.1718168258667
1652349420.9567232_tcp_upload_to_elasticsearch,tcp_upload_to_elasticsearch,1652349420.9567227,10.17054557800293
1652349870.8887322_cs_bot,cs_bot,1652349870.8887315,11.222235202789307
1652349870.8939714_df_union,df_union,1652349870.8939707,10.671461582183838
1652349870.8981798_eo_athenarunner,eo_athenarunner,1652349870.8981793,0.5045897960662842
1652349870.9023457_eo_gluerunner,eo_gluerunner,1652349870.9023452,0.5045363903045654
1652349870.9064803_eo_ons3objectcreated,eo_ons3objectcreated,1652349870.9064798,0.5040280818939209
1652349870.910514_fmp_twitter_streaming,fmp_twitter_streaming,1652349870.9105136,0.9429423809051514
